H,1,1.008,hydrogen,waterstof
He,2,4.0026,helium,helium
Li,3,6.94,lithium,lithium
Be,4,9.0122,beryllium,beryllium
B,5,10.81,boron,boor
C,6,12.011,carbon,koolstof
N,7,14.007,nitrogen,stikstof
O,8,15.999,oxigen,zuurstof
F,9,18.998,fluorine,fluor
Ne,10,20.180,neon,neon
Na,11,22.990,sodium,natrium
Mg,12,24.305,magnesium,magnesium
Al,13,26.982,aluminium,aluminium
Si,14,28.085,silicon,silicium
P,15,30.974,phosphorus,fosfor
S,16,32.06,sulfur,zwavel
Cl,17,35.45,chlorine,chloor
Ar,18,39.948,argon,argon
K,19,39.098,potassium,kalium
Ca,20,40.078,calcium,calcium
Sc,21,44.956,scandium,scandium
Ti,22,47.867,titanium,titanium
V,23,50.942,vanadium,vanadium
Cr,24,51.996,chromium,chroom
Mn,25,54.938,manganese,mangaan
Fe,26,55.845,iron,ijzer
Co,27,58.933,cobalt, kobalt
Ni,28,58.693,nickel, nikkel
Cu,29,63.546,copper,koper
Zn,30,65.38,zinc,zink
Ga,31,69.723,gallium,gallium
Ge,32,72.630,germanium,germanium
As,33,74.922,arsenic,arseen
Se,34,78.971,selenium,selenium
Br,35,79.904,bromine,broom
Kr,36,83.798,krypton,krypton
Rb,37,85.468,rubidium,rubidium
Sr,38,87.62,strontium,strontium
Y,39,88.906,yttrium,yttrium
Zr,40,91.224,zirconium,zirkonium
